customer_id,plan_type,tenure_months,monthly_fee,num_devices,streaming_hours_per_week,support_tickets,churned
131,Basic,4,8.99,3,28.3,1,0
132,Basic,37,8.99,1,5.0,2,0
133,Standard,6,13.99,2,4.0,2,0
134,Basic,50,8.99,5,11.7,3,0
135,Standard,56,13.99,5,29.7,0,0
136,Premium,7,19.99,2,19.0,0,0
137,Basic,11,8.99,2,5.6,0,1
138,Premium,31,19.99,3,1.5,0,0
139,Standard,45,13.99,4,2.6,0,0
140,Premium,43,19.99,2,13.0,1,0
141,Premium,10,19.99,3,24.9,0,0
142,Premium,53,19.99,5,27.7,0,0
143,Standard,45,13.99,3,21.1,3,0
144,Basic,39,8.99,1,26.7,2,0
145,Premium,17,19.99,1,3.2,4,1
146,Basic,49,8.99,3,17.5,2,0
147,Basic,31,8.99,5,19.7,3,0
148,Premium,53,19.99,4,29.1,1,0
149,Standard,22,13.99,3,20.3,2,0
150,Standard,43,13.99,4,24.5,1,0
